Name	Mortal	Immortal	WGS_M_SNP	WGS_M_Ind	WGS_I_SNP	WGS_I_Ind	WGS_M_Sym	WGS_I_Sym
IIICF_IIICF_d2	IIICF	IIICF_d2	0	0	765	288	IIICF-	IIICF+
IIICF_IIICF_402DE_D2	IIICF	IIICF_402DE_D2	0	0	0	0	IIICF-	IIICF-
IIICF_IIICF_E6_A1	IIICF	IIICF_E6_A1	0	0	0	0	IIICF-	IIICF-
IIICF_IIICF_E6_A2	IIICF	IIICF_E6_A2	0	0	0	0	IIICF-	IIICF-
IIICF_IIICF_E6E7_A1	IIICF	IIICF_E6E7_A1	0	0	0	0	IIICF-	IIICF-
IIICF_IIICF_T_B1	IIICF	IIICF_T_B1	0	0	0	0	IIICF-	IIICF-
IIICF_IIICF_T_B3	IIICF	IIICF_T_B3	0	0	0	0	IIICF-	IIICF-
IIICF_IIICF_T_C3	IIICF	IIICF_T_C3	0	0	0	0	IIICF-	IIICF-
IIICF_IIICF_T_C4	IIICF	IIICF_T_C4	0	0	0	0	IIICF-	IIICF-
JFCF6_P12_JFCF_6_T_1_C	JFCF6_P12	JFCF_6_T_1_C	0	0	0	0	JFCF6_P12-	JFCF6_P12-
JFCF6_P12_JFCF_6_T_1_D	JFCF6_P12	JFCF_6_T_1_D	0	0	0	0	JFCF6_P12-	JFCF6_P12-
JFCF6_P12_JFCF_6_T_1_F	JFCF6_P12	JFCF_6_T_1_F	0	0	0	0	JFCF6_P12-	JFCF6_P12-
JFCF6_P12_JFCF_6_T_1_G	JFCF6_P12	JFCF_6_T_1_G	0	0	0	0	JFCF6_P12-	JFCF6_P12-
JFCF6_P12_JFCF_6_T_1_H	JFCF6_P12	JFCF_6_T_1_H	0	0	0	0	JFCF6_P12-	JFCF6_P12-
JFCF6_P12_JFCF_6_T_1_L	JFCF6_P12	JFCF_6_T_1_L	0	0	0	0	JFCF6_P12-	JFCF6_P12-
JFCF6_P12_JFCF_6_T_1_P_TEL	JFCF6_P12	JFCF_6_T_1_P_TEL	0	0	0	0	JFCF6_P12-	JFCF6_P12-
JFCF6_P12_JFCF_6_T_1_P_ALT	JFCF6_P12	JFCF_6_T_1_P_ALT	0	0	0	0	JFCF6_P12-	JFCF6_P12-
JFCF6_P12_JFCF_6_T_1_R	JFCF6_P12	JFCF_6_T_1_R	0	0	0	0	JFCF6_P12-	JFCF6_P12-
JFCF6_P12_JFCF_6_T_1J_11C	JFCF6_P12	JFCF_6_T_1J_11C	0	0	0	0	JFCF6_P12-	JFCF6_P12-
JFCF6_P12_JFCF_6_T_1J_11E	JFCF6_P12	JFCF_6_T_1J_11E	0	0	0	0	JFCF6_P12-	JFCF6_P12-
JFCF6_P12_JFCF_6_T_2H	JFCF6_P12	JFCF_6_T_2H	0	0	0	0	JFCF6_P12-	JFCF6_P12-
JFCF6_P12_JFCF_6_T_5K	JFCF6_P12	JFCF_6_T_5K	0	0	0	0	JFCF6_P12-	JFCF6_P12-
GM02063_GM847	GM02063	GM847	1071	357	1102	413	GM02063+	GM02063+
IIICF_E6E7_C4_pre_IIICF_E6E7_C4_post	IIICF_E6E7_C4_pre	IIICF_E6E7_C4_post	0	0	0	0	IIICF_E6E7_C4_pre-	IIICF_E6E7_C4_pre-
IIICF_IIICF_a2	IIICF	IIICF_a2	0	0	607	92	IIICF-	IIICF+
IIICF_IIICF_c	IIICF	IIICF_c	0	0	463	135	IIICF-	IIICF+
IIICF_IIICF_T_A6	IIICF	IIICF_T_A6	0	0	0	0	IIICF-	IIICF-
IVG_BF_LXSN_pre_IVG_BF_LXSN_post	IVG_BF_LXSN_pre	IVG_BF_LXSN_post	0	0	0	0	IVG_BF_LXSN_pre-	IVG_BF_LXSN_pre-
JFCF6_P12_JFCF_6_T_1_M	JFCF6_P12	JFCF_6_T_1_M	0	0	0	0	JFCF6_P12-	JFCF6_P12-
JFCF6_P12_JFCF_6_P_pLKO_5	JFCF6_P12	JFCF_6_P_pLKO_5	0	0	1117	382	JFCF6_P12-	JFCF6_P12+
JFCF6_P12_JFCF_6_T_1_Q	JFCF6_P12	JFCF_6_T_1_Q	0	0	0	0	JFCF6_P12-	JFCF6_P12-
JFCF6_P12_JFCF_6_T_1J_1_3C	JFCF6_P12	JFCF_6_T_1J_1_3C	0	0	0	0	JFCF6_P12-	JFCF6_P12-
JFCF6_P12_JFCF_6_T_1J_6B	JFCF6_P12	JFCF_6_T_1J_6B	0	0	0	0	JFCF6_P12-	JFCF6_P12-
LFS_05F_24_pre_LFS_05F_24_post	LFS_05F_24_pre	LFS_05F_24_post	0	0	0	0	LFS_05F_24_pre-	LFS_05F_24_pre-
MeT_4A_pre_MeT_4A_post	MeT_4A_pre	MeT_4A_post	0	0	0	0	MeT_4A_pre-	MeT_4A_pre-
WI38_VA13	WI38	VA13	825	233	792	156	WI38+	WI38+
